Major,Degree Type,Early Career Pay,Mid Career Pay
Quality Management,Bachelors,66000,90800
Bachelor of Science in Nursing,Bachelors,72000,90700
Speech Communication,Bachelors,53300,90700
Retailing,Bachelors,56700,90500
Visual Effects & Motion Graphics,Bachelors,54100,90500
Foreign Languages,Bachelors,55600,90300
Landscape Architecture,Bachelors,58700,90200
Global Studies,Bachelors,58100,90100
American Sign Language Interpreting,Bachelors,49400,89900
Spanish Language Teacher Education,Bachelors,55100,89900
Technical & Scientific Communication,Bachelors,57000,89800
Broadcast & Cinematic Arts,Bachelors,48000,89700
Computer Animation,Bachelors,52800,89600
Geography,Bachelors,56200,89600
Environmental Resource Management,Bachelors,54100,89500
Fashion,Bachelors,54900,89500
Film Studies,Bachelors,51000,89500
Forestry,Bachelors,52800,89500
Business Leadership,Bachelors,56800,89300
Nursing Education,Bachelors,76300,89300
English Language,Bachelors,50900,89100
Ancient History,Bachelors,51700,89000
Botany,Bachelors,48700,89000
Geosciences,Bachelors,55100,89000
Computer Aided Design (CAD),Bachelors,54700,88900
Digital Arts,Bachelors,50800,88900
Leadership,Bachelors,53700,88700
Automotive Technology & Service Management,Bachelors,59300,88600
Business Management & Administration,Bachelors,58500,88600
Business Management & Human Resources Management (HRM),Bachelors,54600,88600
Human Resources Management (HRM),Bachelors,54300,88600
Radio/Television & Film Production,Bachelors,51200,88600
Allied Health,Bachelors,49900,88500
English Language & Literature,Bachelors,52200,88500
Marine Biology,Bachelors,48500,88400
Security Management,Bachelors,53900,88400
Organizational Leadership,Bachelors,56600,88300
Public Administration,Bachelors,53000,88300
Forestry Management,Bachelors,54600,88200
Management (MGT),Bachelors,52300,88200
Merchandising Management,Bachelors,53500,88100
Administrative Management,Bachelors,59100,88000
Spanish Language,Bachelors,54300,88000
Sports Management,Bachelors,51200,88000
Arts Management,Bachelors,45200,87900
Homeland Security,Bachelors,55300,87900
Electronic Media,Bachelors,50700,87900
3D Animation,Bachelors,56900,87800
Film Production,Bachelors,50500,87800
Marine Science,Bachelors,51800,87600
Information & Communication Technology,Bachelors,53700,87500
Mass Communication,Bachelors,50700,87500
Museum Studies,Bachelors,42800,87500
Technical Writing,Bachelors,63300,87500
Religious Studies,Bachelors,50700,87400
Travel Industry Management,Bachelors,58700,87400
Art History,Bachelors,53400,87200
Fashion Merchandising,Bachelors,53300,87200
Nuclear Medicine Technology,Bachelors,68800,87200
Marketing & Advertising,Bachelors,55400,87100
Musicology,Bachelors,48100,87000
Broadcast Journalism,Bachelors,49800,86800
Animation,Bachelors,50900,86700
Historic Preservation,Bachelors,48300,86600
Music Performance,Bachelors,51700,86600
Organizational Leadership & Supervision,Bachelors,54600,86600
Multimedia,Bachelors,50400,86500
Business Technology,Bachelors,59200,86400
Radiologic Science,Bachelors,64000,86400
Human Nutrition,Bachelors,55100,86400
Acting,Bachelors,50400,86400
Liberal Arts,Bachelors,51400,86300
Apparel Merchandising,Bachelors,53900,86200
German Language & Literature,Bachelors,56400,86200
Organizational Management,Bachelors,55500,86200
Zoology,Bachelors,46800,86100
Creative Writing,Bachelors,51200,85900
Geomatics,Bachelors,57800,85800
Law Enforcement,Bachelors,52800,85700
Administration,Bachelors,49200,85600
Cytotechnology,Bachelors,66800,85600
Fashion Marketing & Management,Bachelors,54400,85600
Applied Management,Bachelors,49800,85400
Management & Leadership,Bachelors,59500,85400
Human Resources (HR),Bachelors,53800,85300
Animal Science & Management,Bachelors,51500,85200
Adult Education & Training,Bachelors,55200,85100
Agricultural Communication,Bachelors,51300,84900
Health & Fitness,Bachelors,44100,84900
Criminal Justice Administration,Bachelors,51900,84800
Emergency Management,Bachelors,58100,84800
Media Arts,Bachelors,51300,84800
Sociology & Anthropology,Bachelors,51200,84800
Radiology,Bachelors,62300,84800
Communication Design,Bachelors,58500,84700
Earth Science,Bachelors,56800,84700
Modern Languages,Bachelors,57700,84700
Training and Development,Bachelors,59600,84700
Hospital Administration,Bachelors,59800,84400
Human Relations,Bachelors,51100,84400
Natural Resources,Bachelors,54200,84300
Ethnic Studies,Bachelors,54500,84200
Hotel & Restaurant Management,Bachelors,54200,84200
Broadcast Communication,Bachelors,45900,83800
Mass Media,Bachelors,45800,83800
Advertising & Graphic Design,Bachelors,53000,83700
Radiologic Technology,Bachelors,62000,83700
